input_file	graph	output_file	json_file
「米沢の子どもたちに負の影響と遺産を残してはいけない。大人の責任」.pdf	https://kozaki-lab.jp/REFV-KG/docs/YamagataWeb/00013	YamagataWeb00013.trig	YamagataWeb00013.trig.json
「米沢市の再エネのゾーニングマップ説明会があります。説明会にみんなで行きましょう！」.pdf	https://kozaki-lab.jp/REFV-KG/docs/YamagataWeb/00014	YamagataWeb00014.trig	YamagataWeb00014.trig.json
かわら版No.47　栗子山風力発電事業について｜さのようへい／佐野洋平　「かわら版」.pdf	https://kozaki-lab.jp/REFV-KG/docs/YamagataWeb/00015	YamagataWeb00015.trig	YamagataWeb00015.trig.json
かわら版No.54　令和6年米沢市政・前半期と後半期のチェックポイント｜さのようへい／佐野洋平　「かわら版」.pdf	https://kozaki-lab.jp/REFV-KG/docs/YamagataWeb/00016	YamagataWeb00016.trig	YamagataWeb00016.trig.json
かわら版No.63　「栗子山風力発電事業」から、見えてきたもの｜さのようへい／佐野洋平　「かわら版」.pdf	https://kozaki-lab.jp/REFV-KG/docs/YamagataWeb/00017	YamagataWeb00017.trig	YamagataWeb00017.trig.json
かわら版No.64　令和6年9月定例会・佐野洋平・一般質問「栗子山風力発電事業について」（全文版）｜さのようへい／佐野洋平　「かわら版」.pdf	https://kozaki-lab.jp/REFV-KG/docs/YamagataWeb/00018	YamagataWeb00018.trig	YamagataWeb00018.trig.json
かわら版No.67　（仮称）栗子山風力発電事業が、白紙撤回に至るまで【記録・保存版】｜さのようへい／佐野洋平　「かわら版」.pdf	https://kozaki-lab.jp/REFV-KG/docs/YamagataWeb/00019	YamagataWeb00019.trig	YamagataWeb00019.trig.json
事業計画地の美しい自然と無届けの破壊.pdf	https://kozaki-lab.jp/REFV-KG/docs/YamagataWeb/00020	YamagataWeb00020.trig	YamagataWeb00020.trig.json
今回のJR東日本エネルギー開発の巨大風車建設の取りやめが歌になっていました.pdf	https://kozaki-lab.jp/REFV-KG/docs/YamagataWeb/00021	YamagataWeb00021.trig	YamagataWeb00021.trig.json
南原の土地と景観を守りたい！米沢市笹野太陽光発電事業中止への署名ご協力お願いします.pdf	https://kozaki-lab.jp/REFV-KG/docs/YamagataWeb/00022	YamagataWeb00022.trig	YamagataWeb00022.trig.json
宮城県七ヶ浜の火力発電所を見学してきました.pdf	https://kozaki-lab.jp/REFV-KG/docs/YamagataWeb/00023	YamagataWeb00023.trig	YamagataWeb00023.trig.json
山形県に追加署名を提出してきました.pdf	https://kozaki-lab.jp/REFV-KG/docs/YamagataWeb/00024	YamagataWeb00024.trig	YamagataWeb00024.trig.json
山形県知事の意見を踏まえて、２社の新聞報道.pdf	https://kozaki-lab.jp/REFV-KG/docs/YamagataWeb/00025	YamagataWeb00025.trig	YamagataWeb00025.trig.json
市長の申し入れを受けてのメディア記事.pdf	https://kozaki-lab.jp/REFV-KG/docs/YamagataWeb/00026	YamagataWeb00026.trig	YamagataWeb00026.trig.json
毎日新聞に取り上げて頂きました.pdf	https://kozaki-lab.jp/REFV-KG/docs/YamagataWeb/00027	YamagataWeb00027.trig	YamagataWeb00027.trig.json
第6回、第7回、第8回、第9回、第10回、風力発電の学習会を開催します.pdf	https://kozaki-lab.jp/REFV-KG/docs/YamagataWeb/00028	YamagataWeb00028.trig	YamagataWeb00028.trig.json
第３回風力発電学習会を西部コミセンで行いました。そのアンケート結果です.pdf	https://kozaki-lab.jp/REFV-KG/docs/YamagataWeb/00029	YamagataWeb00029.trig	YamagataWeb00029.trig.json
米沢市の再エネゾーニングマップを作る、というが、？？？.pdf	https://kozaki-lab.jp/REFV-KG/docs/YamagataWeb/00030	YamagataWeb00030.trig	YamagataWeb00030.trig.json
米沢市長に追加分の署名を提出してきました.pdf	https://kozaki-lab.jp/REFV-KG/docs/YamagataWeb/00031	YamagataWeb00031.trig	YamagataWeb00031.trig.json
署名の原本を国に届けて参りました.pdf	https://kozaki-lab.jp/REFV-KG/docs/YamagataWeb/00032	YamagataWeb00032.trig	YamagataWeb00032.trig.json
茂木誠先生が、栗子山風力発電の事業撤退についての動画を配信してくださいました.pdf	https://kozaki-lab.jp/REFV-KG/docs/YamagataWeb/00033	YamagataWeb00033.trig	YamagataWeb00033.trig.json
風車で苦しむ秋田から、悲痛な訴え。情報の拡散をお願いします.pdf	https://kozaki-lab.jp/REFV-KG/docs/YamagataWeb/00034	YamagataWeb00034.trig	YamagataWeb00034.trig.json
＜栗子山風力発電＞4月26日に、第2回風力発電学習会を開催しました。アンケートの集計結果です.pdf	https://kozaki-lab.jp/REFV-KG/docs/YamagataWeb/00035	YamagataWeb00035.trig	YamagataWeb00035.trig.json
＜栗子山風力発電＞$201Fようやく”市民への説明会が開催されることになりました.pdf	https://kozaki-lab.jp/REFV-KG/docs/YamagataWeb/00036	YamagataWeb00036.trig	YamagataWeb00036.trig.json
＜栗子山風力発電＞これまでの報道と配布したチラシなど.pdf	https://kozaki-lab.jp/REFV-KG/docs/YamagataWeb/00037	YamagataWeb00037.trig	YamagataWeb00037.trig.json
＜栗子山風力発電＞どのくらいの規模が対象事業実施区域か、面積は約２６０ヘクタール。一目でわかる、米沢市との比較.pdf	https://kozaki-lab.jp/REFV-KG/docs/YamagataWeb/00038	YamagataWeb00038.trig	YamagataWeb00038.trig.json
＜栗子山風力発電＞令和６年３月２９日（金）米沢市万世コミュニティセンターで勉強会を開催します.pdf	https://kozaki-lab.jp/REFV-KG/docs/YamagataWeb/00039	YamagataWeb00039.trig	YamagataWeb00039.trig.json
＜栗子山風力発電＞栗子山は、ハリーポッターの魔女の帽子の形に少し似てませんか？.pdf	https://kozaki-lab.jp/REFV-KG/docs/YamagataWeb/00040	YamagataWeb00040.trig	YamagataWeb00040.trig.json
＜栗子山風力発電＞第2回風力発電の勉強会を4月26日金曜日、松川コミュニティセンターで開催します.pdf	https://kozaki-lab.jp/REFV-KG/docs/YamagataWeb/00041	YamagataWeb00041.trig	YamagataWeb00041.trig.json
＜栗子山風力発電＞第3回、第4回、第5回、風力発電の学習会を開催します.pdf	https://kozaki-lab.jp/REFV-KG/docs/YamagataWeb/00042	YamagataWeb00042.trig	YamagataWeb00042.trig.json
＜栗子山風力発電＞第１回風力発電勉強会を終了しました。アンケートの集計結果です.pdf	https://kozaki-lab.jp/REFV-KG/docs/YamagataWeb/00043	YamagataWeb00043.trig	YamagataWeb00043.trig.json
＜栗子山風力発電＞米沢の子供の未来と豊かな自然を考える会です.pdf	https://kozaki-lab.jp/REFV-KG/docs/YamagataWeb/00044	YamagataWeb00044.trig	YamagataWeb00044.trig.json
＜栗子山風力発電＞超低周波音とは？人体における影響とは？本当に体調不良は気のせい？.pdf	https://kozaki-lab.jp/REFV-KG/docs/YamagataWeb/00045	YamagataWeb00045.trig	YamagataWeb00045.trig.json
＜栗子山風力発電＞７月１５日（月）、≪風力発電≫学習会を開催します.pdf	https://kozaki-lab.jp/REFV-KG/docs/YamagataWeb/00046	YamagataWeb00046.trig	YamagataWeb00046.trig.json
＜栗子山風力発電＞７月２８日、３０日、８月３日、風力発電学習会を開催します.pdf	https://kozaki-lab.jp/REFV-KG/docs/YamagataWeb/00047	YamagataWeb00047.trig	YamagataWeb00047.trig.json
